Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,link
complete,# 14456 : SECONDARY HOOD LATCH CORROSION,14V593,2014-12-31,General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2012-2015 model year Chevrolet Spark vehicles. The involved vehicles were manufactured with a secondary hood latch that may corrode at the latch pivot and stick in the open position causing the latch to not engage.,"If the secondary latch corrodes and sticks in the open position and the primary latch is not engaged, it is possible that the hood may open unexpectedly. If the hood opened unexpectedly while the vehicle is being driven, the driver's vision may be impaired increasing the risk of a vehicle crash. Until your vehicle is serviced, you should ensure that your primary hood latch is properly engaged and the hood is closed before driving. Your primary hood latch may not be properly engaged if you notice larger than normal gaps between the hood and the fender and grille.",Dealers will replace the striker with a new part free of charge.,https://www.chevrolet.com/ownercenter/api/KL8CF6S93EC469978/gfas?cb=16777551996700.4782935067564471
complete,# 17130 : MYLINK LOSS OF KEY REMINDER CHIME,16V257,2016-04-27,"General Motors has decided that certain 2013-2016 model year Chevrolet Sonic and Trax vehicles and 2013-2015 model year Chevrolet Spark vehicles equipped with a Bring Your Own Media (“BYOM”) radio may not comply with Federal Motor Vehicle Safety Standard (FMVSS) No. 114, “Theft protection and rollaway prevention.”  BYOM radio software in these vehicles may fail to provide an audible warning/reminder chime when the driver, after turning off the ignition and leaving the key in the cylinder, waits 10 minutes or longer to open the door for the first time. The vehicle may also fail to provide – or provide a shortened – audible warning when the driver opens the door, hears a chime, leaves the key in the ignition, closes the door, and subsequently opens the door a second time more than 20 seconds later.","If no key reminder chime sounds to alert the driver to a key left in the ignition, there is an increased risk of theft.",Dealers will update the radios with corrected operating software free of charge.,https://www.chevrolet.com/ownercenter/api/KL8CF6S93EC469978/gfas?cb=16777551996700.4782935067564471
incomplete,Transmission Pulley Damage,,2020-01-22,"Some 2014 - 2015 model year Chevrolet Spark vehicles, equipped with a continuously variable ratio automatic transmission, the transmission drive pulleys and internal belt can be damaged if the driver experiences an unexpected harsh shift event. If this occurs, debris may be released inside the transmission, damaging the transmission. Initially, the driver may experience a decrease in drive or shift quality. If not corrected the condition may progress as follows; additional debris inside the transmission, illuminated malfunction indicator light, a reduced power state may be experienced, and a loss of propulsion may occur.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the transmission.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/KL8CF6S93EC469978/gfas?cb=16777551996700.4782935067564471
incomplete,Spark M300_Hood latch/striker corrosion,22V640,2022-08-25,"General Motors has decided that a defect which relates to motor vehicle safety exists in certain 2013 – 2015 model year Chevrolet Spark and 2014 – 2015 model year Spark EV vehicles.  The secondary hood latch lever in these vehicles may prematurely corrode at the pivot.  If severely corroded, the secondary latch striker may become stuck out of position and fail to properly engage.","If the striker becomes stuck out of position and both the primary and secondary hood latch fail to engage, the vehicle’s hood may open unexpectedly, increasing the risk of a crash.",Dealers will replace the hood striker assembly and hood latch assembly.,https://www.chevrolet.com/ownercenter/api/KL8CF6S93EC469978/gfas?cb=16777551996700.4782935067564471
complete,# 14110 : ENGINE OIL CONSUMPTION DUE TO PCV VALVE WEAR,,2014-08-13,,,,https://www.chevrolet.com/ownercenter/api/KL8CF6S93EC469978/gfas?cb=16777551996700.4782935067564471
complete,Windshield Wiper Failure,22V165,2022-03-29,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2014-2015 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.",Dealers will inspect the wiper module and repair or replace as necessary.,https://www.chevrolet.com/ownercenter/api/2GNALCEK3E6118282/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2GNALCEK3E6118282/gfas?cb=16777551996700.4782935067564471
incomplete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/2GNALCEK3E6118282/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage N150643,,2003-03-10,"Some 2004-2009 model year Cadillac XLR and 2005-2013 model year Chevrolet Corvette vehicles, equipped with power seats, may have a condition where, the wire harness connector from the seat side airbag and buckle tensioner to the body has a design interference between the vertical adjust crossbar and the carpet.  When the seat is moved forward or back, the connector may be dragged along the carpet, pulling terminals loose or pulling the connector apart. This will cause a diagnostic trouble code to be set and the service airbag light will be illuminated.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1YE2DW5B5111432/gfas?cb=16777551996700.4782935067564471
incomplete,# 15682 : Fuel and Vapor Leaks due to cracks in the fuel pump module flange or leaks past the sender seal - 2007-2013 Chevrolet Corvette & 2007-2009 Cadillac XLR,,2017-01-13,"Some 2007 to 2009 model year XLR or 2007 to 2013 model year Corvette vehicles may have a condition where a fuel odor is detected, fuel droplets appear below the left-hand fuel tank with fuel gauge level above 1/2, or a malfunction indicator lamp illuminates due to a leak path in the left-hand fuel pump module flange.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the left hand fuel tank fuel pump module.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1YE2DW5B5111432/gfas?cb=16777551996700.4782935067564471
